0,player_A1,player_A2,player_A3,player_A4,player_A5,player_A6,score_A,player_B1,player_B2,player_B3,player_B4,player_B5,player_B6,score_B
27,P00144,P00123,P00097,P00036,P00077,P00011,P00049,P00010,P00140,P00101,P00092,P00072,0.0,3.0
28,P00029,P00084,P00003,P00146,P00107,P00150,P00035,P00114,P00134,P00096,P00106,P00127,3.0,0.0
29,P00131,P00023,P00065,P00129,P00064,P00100,P00029,P00019,P00146,P00090,P00140,P00063,1.0,0.0
30,P00082,P00032,P00001,P00102,P00074,P00021,P00114,P00040,P00145,P00051,P00031,P00066,0.0,3.0
31,P00013,P00134,P00103,P00003,P00038,P00123,P00115,P00119,P00147,P00034,P00087,P00068,1.0,0.0
32,P00018,P00047,P00059,P00014,P00079,P00115,P00038,P00147,P00065,P00127,P00133,P00150,1.0,0.0
33,P00066,P00058,P00008,P00091,P00114,P00007,P00089,P00118,P00147,P00148,P00095,P00029,0.0,0.0
34,P00115,P00113,P00007,P00128,P00078,P00039,P00084,P00010,P00095,P00049,P00125,P00048,0.0,2.0
35,P00136,P00003,P00114,P00056,P00093,P00117,P00034,P00138,P00076,P00085,P00103,P00128,4.0,0.0
36,P00127,P00128,P00002,P00111,P00139,P00140,P00058,P00034,P00099,P00080,P00081,P00051,0.0,3.0
37,P00066,P00039,P00049,P00013,P00086,P00083,P00143,P00007,P00051,P00089,P00115,P00100,0.0,0.0
38,P00021,P00134,P00092,P00078,P00066,P00009,P00065,P00070,P00104,P00081,P00093,P00069,2.0,0.0
39,P00011,P00049,P00012,P00123,P00065,P00050,P00083,P00148,P00035,P00019,P00098,P00092,0.0,4.0
40,P00007,P00067,P00089,P00032,P00031,P00100,P00113,P00029,P00097,P00013,P00073,P00037,2.0,0.0
41,P00052,P00063,P00121,P00089,P00067,P00145,P00092,P00079,P00122,P00009,P00069,P00033,0.0,4.0
42,P00144,P00004,P00064,P00029,P00120,P00113,P00123,P00032,P00079,P00105,P00012,P00044,1.0,0.0
43,P00041,P00011,P00003,P00137,P00125,P00110,P00098,P00146,P00135,P00097,P00079,P00025,0.0,1.0
44,P00121,P00145,P00115,P00103,P00076,P00086,P00114,P00045,P00048,P00140,P00133,P00016,0.0,6.0
45,P00049,P00127,P00080,P00059,P00053,P00058,P00045,P00032,P00143,P00086,P00094,P00003,5.0,0.0
46,P00116,P00025,P00071,P00038,P00051,P00093,P00006,P00140,P00124,P00141,P00080,P00112,0.0,1.0
47,P00067,P00078,P00034,P00045,P00086,P00101,P00081,P00085,P00133,P00094,P00076,P00111,2.0,0.0
48,P00142,P00032,P00140,P00136,P00031,P00130,P00137,P00067,P00094,P00092,P00037,P00009,0.0,0.0
49,P00052,P00129,P00122,P00018,P00037,P00015,P00048,P00029,P00094,P00032,P00133,P00066,2.0,0.0
50,P00054,P00129,P00079,P00136,P00095,P00148,P00077,P00014,P00076,P00001,P00147,P00003,2.0,0.0
51,P00033,P00059,P00036,P00040,P00055,P00074,P00122,P00052,P00113,P00139,P00148,P00089,4.0,0.0
52,P00068,P00111,P00028,P00096,P00051,P00093,P00033,P00090,P00035,P00098,P00079,P00126,0.0,1.0
53,P00127,P00148,P00012,P00090,P00043,P00009,P00024,P00029,P00081,P00019,P00004,P00109,0.0,2.0
54,P00148,P00100,P00061,P00092,P00014,P00098,P00003,P00053,P00126,P00146,P00101,P00059,3.0,0.0
55,P00093,P00072,P00001,P00083,P00044,P00012,P00070,P00053,P00143,P00032,P00017,P00011,1.0,0.0
56,P00011,P00088,P00014,P00109,P00089,P00103,P00050,P00034,P00133,P00008,P00082,P00052,3.0,0.0
57,P00023,P00012,P00058,P00054,P00029,P00038,P00140,P00129,P00008,P00102,P00079,P00028,0.0,5.0
58,P00079,P00105,P00085,P00069,P00073,P00050,P00109,P00103,P00095,P00018,P00047,P00100,0.0,2.0
59,P00131,P00041,P00030,P00095,P00026,P00150,P00015,P00141,P00147,P00110,P00025,P00049,3.0,0.0
60,P00130,P00057,P00038,P00039,P00119,P00061,P00013,P00052,P00138,P00094,P00064,P00128,0.0,0.0
61,P00005,P00081,P00041,P00045,P00076,P00091,P00094,P00057,P00075,P00117,P00039,P00093,3.0,0.0
62,P00074,P00096,P00059,P00048,P00148,P00042,P00031,P00075,P00083,P00106,P00130,P00093,0.0,0.0
63,P00134,P00104,P00035,P00089,P00027,P00028,P00072,P00043,P00078,P00041,P00084,P00099,0.0,3.0
64,P00121,P00116,P00125,P00013,P00111,P00043,P00017,P00040,P00047,P00018,P00012,P00114,0.0,3.0
65,P00065,P00100,P00064,P00063,P00149,P00037,P00007,P00062,P00097,P00134,P00051,P00049,0.0,0.0
66,P00127,P00021,P00099,P00053,P00012,P00046,P00143,P00039,P00117,P00094,P00113,P00075,0.0,2.0
67,P00075,P00028,P00083,P00022,P00050,P00110,P00014,P00019,P00100,P00039,P00020,P00138,0.0,1.0
68,P00110,P00115,P00028,P00003,P00107,P00033,P00067,P00090,P00091,P00011,P00087,P00144,1.0,0.0
69,P00101,P00021,P00150,P00088,P00096,P00097,P00014,P00093,P00020,P00107,P00054,P00106,0.0,2.0
70,P00031,P00041,P00067,P00054,P00148,P00070,P00089,P00040,P00060,P00051,P00118,P00131,1.0,0.0
71,P00104,P00009,P00101,P00053,P00113,P00015,P00023,P00076,P00146,P00130,P00033,P00142,0.0,3.0
72,P00132,P00119,P00085,P00054,P00110,P00050,P00142,P00044,P00075,P00120,P00149,P00067,0.0,5.0
73,P00002,P00023,P00005,P00138,P00020,P00092,P00102,P00085,P00014,P00008,P00009,P00040,2.0,0.0
74,P00044,P00032,P00020,P00003,P00084,P00085,P00023,P00073,P00046,P00132,P00127,P00097,4.0,0.0
75,P00062,P00114,P00117,P00022,P00146,P00137,P00063,P00140,P00122,P00072,P00015,P00034,2.0,0.0
76,P00132,P00045,P00082,P00090,P00098,P00125,P00139,P00105,P00138,P00143,P00142,P00065,1.0,0.0
77,P00145,P00065,P00110,P00030,P00123,P00092,P00044,P00084,P00050,P00129,P00107,P00130,0.0,2.0
78,P00031,P00094,P00121,P00007,P00049,P00117,P00018,P00042,P00132,P00067,P00014,P00087,1.0,0.0
79,P00026,P00071,P00139,P00033,P00149,P00095,P00067,P00072,P00103,P00111,P00081,P00100,0.0,2.0
80,P00014,P00017,P00102,P00024,P00012,P00043,P00004,P00042,P00144,P00062,P00127,P00125,2.0,0.0
81,P00064,P00058,P00043,P00073,P00098,P00013,P00018,P00083,P00143,P00027,P00082,P00139,5.0,0.0
82,P00042,P00073,P00012,P00014,P00037,P00110,P00060,P00035,P00049,P00078,P00030,P00032,0.0,2.0
83,P00058,P00113,P00034,P00047,P00064,P00048,P00009,P00020,P00099,P00068,P00021,P00050,0.0,1.0
84,P00020,P00094,P00028,P00034,P00089,P00016,P00065,P00018,P00032,P00061,P00035,P00141,0.0,1.0
85,P00142,P00024,P00139,P00079,P00032,P00133,P00069,P00022,P00144,P00039,P00146,P00061,0.0,1.0
86,P00110,P00058,P00029,P00022,P00098,P00032,P00136,P00027,P00057,P00126,P00066,P00068,1.0,0.0
87,P00102,P00004,P00147,P00049,P00135,P00105,P00106,P00060,P00120,P00132,P00092,P00134,0.0,1.0
88,P00013,P00089,P00006,P00065,P00005,P00004,P00116,P00025,P00014,P00036,P00063,P00041,0.0,2.0
89,P00049,P00128,P00070,P00089,P00111,P00126,P00013,P00034,P00129,P00027,P00081,P00107,0.0,0.0
90,P00038,P00115,P00138,P00092,P00096,P00108,P00136,P00052,P00099,P00144,P00001,P00049,0.0,3.0
91,P00127,P00117,P00146,P00042,P00110,P00040,P00108,P00055,P00136,P00019,P00115,P00079,1.0,0.0
92,P00064,P00025,P00077,P00090,P00042,P00071,P00004,P00008,P00015,P00044,P00076,P00112,2.0,0.0
93,P00032,P00043,P00056,P00134,P00021,P00078,P00025,P00121,P00110,P00091,P00143,P00008,6.0,0.0
94,P00004,P00135,P00120,P00090,P00070,P00139,P00100,P00046,P00117,P00071,P00043,P00016,0.0,0.0
95,P00089,P00033,P00140,P00150,P00075,P00122,P00035,P00015,P00024,P00128,P00107,P00146,2.0,0.0
96,P00086,P00109,P00035,P00063,P00027,P00008,P00018,P00140,P00126,P00004,P00112,P00001,3.0,0.0
97,P00056,P00017,P00077,P00146,P00008,P00032,P00124,P00092,P00011,P00102,P00050,P00136,2.0,0.0
98,P00023,P00137,P00079,P00042,P00108,P00016,P00011,P00121,P00077,P00069,P00150,P00086,2.0,0.0
99,P00054,P00116,P00067,P00063,P00110,P00147,P00111,P00123,P00002,P00096,P00012,P00107,0.0,0.0
100,P00111,P00085,P00112,P00048,P00054,P00052,P00143,P00006,P00065,P00110,P00060,P00091,0.0,2.0
101,P00122,P00093,P00141,P00088,P00026,P00008,P00107,P00145,P00149,P00011,P00124,P00040,1.0,0.0
102,P00082,P00060,P00126,P00062,P00031,P00045,P00090,P00081,P00093,P00070,P00105,P00097,3.0,0.0
103,P00041,P00109,P00148,P00116,P00080,P00053,P00011,P00058,P00034,P00089,P00099,P00117,3.0,0.0
104,P00127,P00040,P00095,P00101,P00118,P00100,P00046,P00122,P00148,P00025,P00076,P00070,1.0,0.0
105,P00118,P00079,P00001,P00141,P00116,P00038,P00008,P00014,P00023,P00086,P00046,P00083,3.0,0.0
106,P00071,P00141,P00011,P00079,P00065,P00061,P00067,P00070,P00031,P00072,P00033,P00058,0.0,5.0
107,P00032,P00023,P00111,P00134,P00045,P00129,P00091,P00120,P00090,P00107,P00042,P00051,5.0,0.0
108,P00095,P00099,P00147,P00145,P00016,P00121,P00073,P00116,P00110,P00049,P00051,P00028,0.0,4.0
109,P00107,P00121,P00041,P00027,P00052,P00138,P00092,P00136,P00030,P00134,P00012,P00070,0.0,2.0
110,P00134,P00052,P00137,P00074,P00097,P00146,P00113,P00139,P00135,P00066,P00051,P00102,4.0,0.0
111,P00092,P00112,P00115,P00140,P00122,P00020,P00117,P00121,P00069,P00034,P00039,P00103,5.0,0.0
112,P00104,P00134,P00142,P00148,P00091,P00057,P00043,P00063,P00096,P00030,P00098,P00105,0.0,0.0
113,P00073,P00079,P00090,P00044,P00111,P00143,P00001,P00052,P00109,P00072,P00058,P00149,0.0,2.0
114,P00053,P00120,P00093,P00044,P00097,P00056,P00077,P00019,P00072,P00031,P00101,P00082,0.0,2.0
115,P00024,P00072,P00018,P00007,P00032,P00073,P00145,P00108,P00137,P00023,P00139,P00002,2.0,0.0
116,P00106,P00140,P00025,P00150,P00053,P00002,P00055,P00114,P00013,P00084,P00024,P00108,0.0,2.0
117,P00019,P00021,P00117,P00052,P00039,P00047,P00092,P00025,P00120,P00147,P00134,P00056,0.0,4.0
118,P00002,P00098,P00125,P00129,P00067,P00058,P00127,P00040,P00024,P00071,P00118,P00046,4.0,0.0
119,P00126,P00093,P00107,P00067,P00110,P00062,P00059,P00142,P00130,P00103,P00132,P00100,0.0,2.0
120,P00021,P00041,P00076,P00018,P00001,P00007,P00033,P00120,P00036,P00019,P00147,P00004,0.0,0.0
121,P00078,P00030,P00099,P00135,P00080,P00033,P00025,P00063,P00148,P00089,P00096,P00062,3.0,0.0
122,P00005,P00116,P00020,P00015,P00123,P00006,P00050,P00027,P00048,P00105,P00057,P00081,3.0,0.0
123,P00106,P00118,P00038,P00125,P00075,P00080,P00059,P00109,P00076,P00134,P00049,P00132,0.0,2.0
124,P00071,P00052,P00034,P00050,P00055,P00051,P00104,P00091,P00113,P00146,P00044,P00054,1.0,0.0
125,P00093,P00049,P00070,P00043,P00080,P00077,P00112,P00092,P00082,P00004,P00010,P00051,5.0,0.0
126,P00112,P00026,P00096,P00004,P00015,P00002,P00098,P00146,P00006,P00074,P00082,P00078,0.0,5.0
127,P00138,P00074,P00110,P00030,P00042,P00116,P00095,P00088,P00014,P00022,P00024,P00089,0.0,3.0
128,P00003,P00031,P00096,P00048,P00124,P00145,P00140,P00014,P00009,P00047,P00100,P00022,0.0,5.0
129,P00029,P00018,P00047,P00109,P00015,P00088,P00104,P00019,P00031,P00100,P00144,P00111,1.0,0.0
130,P00094,P00037,P00081,P00116,P00026,P00067,P00051,P00089,P00099,P00078,P00131,P00040,0.0,3.0
131,P00032,P00091,P00034,P00087,P00003,P00145,P00068,P00136,P00094,P00042,P00043,P00111,0.0,4.0
132,P00019,P00141,P00114,P00004,P00136,P00111,P00091,P00083,P00030,P00014,P00076,P00129,0.0,0.0
133,P00066,P00084,P00078,P00137,P00023,P00041,P00007,P00070,P00013,P00146,P00116,P00089,1.0,0.0
134,P00036,P00125,P00079,P00057,P00149,P00135,P00097,P00124,P00013,P00016,P00138,P00113,2.0,0.0
135,P00004,P00018,P00048,P00065,P00097,P00054,P00139,P00058,P00039,P00027,P00044,P00138,0.0,4.0
136,P00089,P00051,P00090,P00067,P00114,P00029,P00074,P00130,P00022,P00145,P00009,P00035,0.0,1.0
137,P00049,P00102,P00073,P00032,P00031,P00143,P00003,P00040,P00016,P00137,P00064,P00107,3.0,0.0
138,P00008,P00100,P00066,P00037,P00092,P00095,P00101,P00142,P00129,P00102,P00090,P00046,3.0,0.0
139,P00127,P00065,P00137,P00078,P00043,P00099,P00067,P00016,P00008,P00095,P00045,P00132,1.0,0.0
140,P00102,P00133,P00023,P00140,P00126,P00036,P00117,P00018,P00058,P00011,P00046,P00128,1.0,0.0
141,P00144,P00124,P00104,P00131,P00119,P00026,P00006,P00141,P00028,P00133,P00003,P00061,0.0,1.0
142,P00122,P00096,P00094,P00088,P00033,P00064,P00010,P00125,P00017,P00043,P00110,P00067,3.0,0.0
143,P00076,P00139,P00020,P00025,P00111,P00009,P00077,P00054,P00126,P00074,P00045,P00068,0.0,3.0
144,P00007,P00145,P00008,P00044,P00120,P00068,P00067,P00011,P00010,P00080,P00099,P00024,0.0,0.0
145,P00084,P00132,P00138,P00046,P00150,P00142,P00147,P00139,P00119,P00029,P00004,P00010,4.0,0.0
146,P00052,P00021,P00088,P00042,P00129,P00084,P00131,P00127,P00109,P00029,P00077,P00125,4.0,0.0
147,P00131,P00125,P00009,P00040,P00086,P00017,P00093,P00107,P00140,P00100,P00030,P00037,0.0,2.0
148,P00109,P00002,P00024,P00049,P00056,P00111,P00077,P00044,P00022,P00126,P00113,P00100,3.0,0.0
149,P00082,P00028,P00146,P00095,P00010,P00032,P00097,P00074,P00088,P00067,P00035,P00110,0.0,0.0
150,P00027,P00009,P00140,P00032,P00109,P00015,P00103,P00002,P00127,P00091,P00050,P00066,3.0,0.0
151,P00057,P00107,P00032,P00119,P00008,P00030,P00031,P00091,P00139,P00071,P00128,P00012,0.0,0.0
152,P00015,P00098,P00012,P00144,P00105,P00010,P00059,P00062,P00022,P00014,P00147,P00109,0.0,3.0
153,P00056,P00122,P00047,P00105,P00019,P00039,P00073,P00142,P00117,P00082,P00049,P00021,0.0,0.0
154,P00030,P00067,P00101,P00049,P00094,P00091,P00020,P00080,P00056,P00031,P00009,P00147,0.0,8.0
155,P00001,P00019,P00105,P00097,P00068,P00059,P00049,P00140,P00009,P00127,P00051,P00048,0.0,1.0
156,P00102,P00106,P00079,P00029,P00099,P00010,P00030,P00037,P00052,P00059,P00022,P00063,0.0,3.0
157,P00040,P00012,P00120,P00021,P00017,P00139,P00050,P00004,P00150,P00003,P00067,P00060,0.0,3.0
158,P00115,P00057,P00116,P00017,P00093,P00067,P00050,P00121,P00150,P00077,P00141,P00026,0.0,0.0
159,P00009,P00030,P00109,P00054,P00141,P00123,P00064,P00119,P00135,P00024,P00093,P00025,0.0,0.0
160,P00133,P00006,P00029,P00045,P00018,P00107,P00057,P00003,P00148,P00041,P00142,P00075,0.0,2.0
161,P00049,P00089,P00117,P00140,P00027,P00034,P00081,P00079,P00060,P00146,P00071,P00074,0.0,3.0
162,P00062,P00061,P00033,P00032,P00121,P00069,P00029,P00096,P00060,P00102,P00111,P00042,0.0,2.0
163,P00037,P00046,P00028,P00051,P00071,P00137,P00069,P00030,P00081,P00106,P00054,P00111,3.0,0.0
164,P00118,P00084,P00061,P00117,P00094,P00041,P00126,P00059,P00028,P00048,P00009,P00106,1.0,0.0
165,P00103,P00052,P00072,P00074,P00002,P00063,P00025,P00108,P00110,P00015,P00028,P00046,6.0,0.0
166,P00074,P00136,P00088,P00008,P00040,P00086,P00106,P00081,P00047,P00149,P00025,P00108,0.0,0.0
167,P00049,P00051,P00012,P00011,P00082,P00119,P00099,P00062,P00067,P00028,P00133,P00076,0.0,0.0
168,P00016,P00037,P00015,P00077,P00062,P00139,P00114,P00113,P00086,P00120,P00102,P00026,0.0,0.0
169,P00022,P00031,P00135,P00101,P00073,P00046,P00148,P00071,P00140,P00037,P00068,P00035,0.0,1.0
170,P00034,P00025,P00132,P00124,P00129,P00055,P00071,P00052,P00004,P00005,P00073,P00147,0.0,3.0
171,P00079,P00105,P00020,P00072,P00034,P00070,P00054,P00106,P00036,P00138,P00040,P00102,5.0,0.0
172,P00023,P00043,P00149,P00021,P00068,P00017,P00046,P00118,P00126,P00027,P00008,P00064,0.0,3.0
173,P00093,P00008,P00138,P00133,P00119,P00060,P00020,P00105,P00070,P00121,P00120,P00074,0.0,3.0
174,P00009,P00078,P00035,P00082,P00071,P00142,P00104,P00084,P00103,P00012,P00069,P00038,5.0,0.0
175,P00136,P00050,P00120,P00137,P00111,P00094,P00060,P00096,P00130,P00005,P00048,P00029,0.0,3.0
176,P00037,P00082,P00065,P00001,P00088,P00099,P00138,P00117,P00032,P00146,P00074,P00141,2.0,0.0
177,P00078,P00143,P00047,P00135,P00125,P00049,P00095,P00108,P00048,P00139,P00085,P00140,2.0,0.0
178,P00033,P00009,P00074,P00127,P00004,P00060,P00135,P00091,P00103,P00089,P00047,P00098,0.0,0.0
179,P00128,P00068,P00037,P00092,P00083,P00115,P00022,P00029,P00112,P00123,P00019,P00146,1.0,0.0
180,P00106,P00008,P00140,P00033,P00088,P00026,P00006,P00097,P00133,P00013,P00049,P00064,2.0,0.0
181,P00087,P00122,P00098,P00028,P00036,P00019,P00002,P00118,P00100,P00074,P00123,P00035,0.0,4.0
182,P00049,P00016,P00096,P00070,P00018,P00126,P00135,P00069,P00048,P00130,P00102,P00042,0.0,1.0
183,P00143,P00024,P00065,P00022,P00093,P00013,P00115,P00139,P00146,P00090,P00017,P00004,4.0,0.0
184,P00001,P00035,P00044,P00110,P00050,P00120,P00031,P00142,P00094,P00114,P00130,P00141,0.0,5.0
185,P00040,P00071,P00137,P00051,P00086,P00100,P00030,P00009,P00018,P00092,P00058,P00078,0.0,2.0
186,P00066,P00134,P00082,P00011,P00084,P00006,P00117,P00035,P00124,P00087,P00092,P00041,0.0,0.0
187,P00085,P00056,P00054,P00145,P00028,P00042,P00111,P00044,P00009,P00003,P00061,P00040,0.0,1.0
188,P00114,P00058,P00012,P00021,P00002,P00149,P00042,P00007,P00078,P00085,P00066,P00132,1.0,0.0
189,P00017,P00120,P00004,P00044,P00142,P00019,P00114,P00040,P00007,P00138,P00123,P00065,0.0,4.0
190,P00057,P00142,P00140,P00084,P00139,P00121,P00082,P00007,P00145,P00094,P00110,P00108,2.0,0.0
191,P00150,P00127,P00032,P00035,P00011,P00134,P00106,P00030,P00040,P00045,P00027,P00135,0.0,0.0
192,P00127,P00138,P00096,P00058,P00074,P00029,P00118,P00132,P00069,P00005,P00068,P00034,0.0,0.0
193,P00034,P00040,P00035,P00070,P00118,P00001,P00085,P00128,P00096,P00119,P00112,P00150,5.0,0.0
194,P00129,P00135,P00143,P00132,P00002,P00115,P00062,P00059,P00016,P00054,P00081,P00013,1.0,0.0
195,P00129,P00052,P00073,P00079,P00063,P00139,P00125,P00120,P00029,P00038,P00113,P00095,5.0,0.0
196,P00050,P00074,P00058,P00113,P00127,P00019,P00104,P00147,P00103,P00003,P00132,P00037,2.0,0.0
197,P00009,P00143,P00075,P00037,P00108,P00070,P00100,P00088,P00072,P00086,P00052,P00044,1.0,0.0
198,P00107,P00010,P00036,P00039,P00045,P00001,P00150,P00132,P00142,P00069,P00112,P00124,1.0,0.0
199,P00097,P00125,P00119,P00007,P00035,P00019,P00025,P00040,P00042,P00106,P00037,P00144,0.0,1.0
200,P00062,P00038,P00112,P00105,P00041,P00047,P00063,P00131,P00045,P00107,P00145,P00061,0.0,1.0
201,P00082,P00011,P00060,P00138,P00147,P00043,P00024,P00085,P00010,P00100,P00070,P00009,0.0,3.0
202,P00084,P00061,P00062,P00090,P00027,P00067,P00001,P00132,P00044,P00071,P00081,P00134,0.0,1.0
203,P00104,P00124,P00031,P00089,P00117,P00090,P00114,P00001,P00100,P00066,P00061,P00028,0.0,4.0
204,P00109,P00102,P00052,P00015,P00108,P00013,P00078,P00069,P00055,P00033,P00064,P00131,0.0,2.0
205,P00032,P00077,P00121,P00097,P00120,P00107,P00074,P00075,P00073,P00133,P00058,P00021,0.0,5.0
206,P00054,P00137,P00001,P00086,P00092,P00093,P00068,P00078,P00088,P00081,P00094,P00085,0.0,1.0
207,P00044,P00092,P00097,P00105,P00046,P00059,P00144,P00022,P00070,P00146,P00035,P00031,0.0,4.0
208,P00111,P00072,P00006,P00089,P00102,P00109,P00025,P00091,P00066,P00098,P00045,P00004,1.0,0.0
209,P00122,P00143,P00138,P00080,P00128,P00078,P00002,P00091,P00022,P00081,P00009,P00046,0.0,2.0
210,P00101,P00100,P00141,P00125,P00105,P00048,P00069,P00122,P00076,P00118,P00074,P00132,0.0,1.0
211,P00004,P00014,P00148,P00045,P00144,P00150,P00115,P00149,P00142,P00020,P00135,P00037,2.0,0.0
212,P00040,P00127,P00136,P00059,P00096,P00010,P00125,P00079,P00150,P00022,P00088,P00007,0.0,5.0
213,P00039,P00124,P00080,P00128,P00088,P00125,P00134,P00060,P00005,P00053,P00038,P00064,0.0,2.0
214,P00015,P00048,P00110,P00036,P00111,P00145,P00028,P00021,P00130,P00035,P00066,P00061,0.0,2.0
215,P00069,P00018,P00046,P00086,P00008,P00148,P00149,P00045,P00038,P00037,P00016,P00044,0.0,2.0
216,P00114,P00021,P00141,P00060,P00083,P00039,P00123,P00126,P00052,P00106,P00108,P00132,3.0,0.0
217,P00056,P00110,P00060,P00098,P00129,P00020,P00127,P00094,P00096,P00148,P00030,P00019,8.0,0.0
218,P00069,P00100,P00073,P00053,P00148,P00002,P00049,P00060,P00122,P00145,P00105,P00112,5.0,0.0
219,P00119,P00105,P00068,P00092,P00128,P00016,P00102,P00048,P00086,P00130,P00122,P00006,2.0,0.0
220,P00075,P00011,P00107,P00010,P00108,P00070,P00035,P00125,P00118,P00115,P00097,P00044,2.0,0.0
221,P00131,P00141,P00035,P00139,P00050,P00122,P00024,P00103,P00137,P00093,P00049,P00142,0.0,5.0
222,P00090,P00107,P00018,P00100,P00003,P00061,P00001,P00070,P00075,P00089,P00037,P00108,0.0,5.0
223,P00102,P00080,P00064,P00015,P00085,P00086,P00150,P00088,P00106,P00147,P00059,P00053,0.0,2.0
224,P00057,P00011,P00089,P00075,P00010,P00143,P00087,P00134,P00012,P00125,P00028,P00009,0.0,2.0
225,P00130,P00120,P00001,P00009,P00034,P00027,P00094,P00140,P00075,P00006,P00061,P00013,1.0,0.0
226,P00067,P00130,P00086,P00112,P00149,P00126,P00128,P00137,P00019,P00077,P00121,P00106,0.0,0.0
227,P00100,P00108,P00054,P00035,P00007,P00037,P00145,P00044,P00006,P00118,P00134,P00098,0.0,2.0
228,P00110,P00120,P00024,P00084,P00030,P00119,P00100,P00038,P00047,P00127,P00078,P00060,0.0,2.0
229,P00058,P00050,P00059,P00117,P00003,P00118,P00129,P00111,P00104,P00119,P00145,P00069,2.0,0.0
230,P00034,P00119,P00072,P00149,P00142,P00121,P00067,P00001,P00092,P00113,P00015,P00093,0.0,3.0
231,P00025,P00105,P00109,P00118,P00019,P00070,P00123,P00149,P00035,P00050,P00145,P00007,2.0,0.0
232,P00109,P00059,P00003,P00016,P00004,P00050,P00019,P00150,P00105,P00051,P00018,P00118,0.0,3.0
233,P00109,P00031,P00074,P00077,P00022,P00009,P00114,P00128,P00021,P00032,P00061,P00112,5.0,0.0
234,P00045,P00145,P00107,P00014,P00016,P00111,P00099,P00057,P00061,P00066,P00024,P00015,0.0,0.0
235,P00098,P00080,P00040,P00122,P00051,P00103,P00052,P00083,P00055,P00139,P00006,P00105,3.0,0.0
236,P00075,P00041,P00146,P00018,P00010,P00014,P00042,P00128,P00106,P00036,P00073,P00083,0.0,0.0
237,P00041,P00037,P00022,P00145,P00049,P00122,P00099,P00129,P00095,P00109,P00111,P00009,0.0,2.0
238,P00118,P00125,P00130,P00135,P00142,P00047,P00126,P00111,P00072,P00039,P00138,P00052,2.0,0.0
